Name,Text,Visibility,Tags
"Code Review Checklist","Create a comprehensive code review checklist covering: 1) Security vulnerabilities and best practices 2) Performance optimizations 3) Code readability and maintainability 4) Testing coverage 5) Documentation quality 6) Error handling 7) Memory management 8) API design consistency. Include specific questions for each category.","PUBLIC","development;review;checklist;best-practices"
"Bug Report Template","Generate a detailed bug report template that includes: 1) Clear bug description 2) Steps to reproduce 3) Expected vs actual behavior 4) Environment details (OS, browser, versions) 5) Screenshots/logs 6) Severity level 7) Workarounds if any. Make it developer-friendly and actionable.","PUBLIC","development;bug-tracking;template;debugging"
"API Documentation Generator","Write comprehensive API documentation for [ENDPOINT_NAME] including: 1) Endpoint description and purpose 2) HTTP method and URL 3) Request parameters with types and validation rules 4) Request/response examples 5) Error codes and messages 6) Authentication requirements 7) Rate limiting info 8) SDK examples in multiple languages.","PUBLIC","api;documentation;backend;rest"
"Git Commit Message Standards","Create a git commit message following conventional commits format. Include: 1) Type (feat/fix/docs/style/refactor/test/chore) 2) Scope (optional) 3) Clear, concise description 4) Body explaining what and why (if needed) 5) Breaking changes notation 6) Issue references. Example: 'feat(auth): add OAuth2 integration for Google login'","PUBLIC","git;version-control;standards;best-practices"
"Database Schema Design","Design a database schema for [DOMAIN] with: 1) Entity relationship diagram 2) Table structures with appropriate data types 3) Primary and foreign key relationships 4) Indexes for performance 5) Constraints and validations 6) Migration scripts 7) Sample queries 8) Normalization considerations. Focus on scalability and maintainability.","PUBLIC","database;schema;sql;backend;architecture"
"Unit Test Generator","Generate comprehensive unit tests for [FUNCTION/CLASS] including: 1) Happy path test cases 2) Edge cases and boundary conditions 3) Error scenarios and exception handling 4) Mock dependencies appropriately 5) Test data setup and teardown 6) Assert statements with clear expectations 7) Test documentation. Use [TESTING_FRAMEWORK] syntax.","PUBLIC","testing;unit-tests;tdd;quality-assurance"
"Performance Optimization Guide","Analyze and provide performance optimization recommendations for [APPLICATION_TYPE]: 1) Code-level optimizations 2) Database query optimization 3) Caching strategies 4) Memory usage improvements 5) Network request optimization 6) Asset optimization 7) Monitoring and profiling tools 8) Benchmarking approach with metrics.","PUBLIC","performance;optimization;monitoring;scalability"
"Security Audit Checklist","Create a security audit checklist for [APPLICATION_TYPE]: 1) Authentication and authorization vulnerabilities 2) Input validation and sanitization 3) SQL injection and XSS prevention 4) CSRF protection 5) Secure communication (HTTPS, TLS) 6) Data encryption at rest and in transit 7) Dependency vulnerabilities 8) Access control and permissions 9) Logging and monitoring.","PUBLIC","security;audit;vulnerabilities;best-practices"
"Code Refactoring Plan","Analyze the following code and create a refactoring plan: 1) Identify code smells and technical debt 2) Break down refactoring into manageable steps 3) Prioritize changes by impact and risk 4) Suggest design patterns to apply 5) Estimate effort and timeline 6) Plan for testing during refactoring 7) Risk mitigation strategies 8) Before/after code examples.","PUBLIC","refactoring;technical-debt;clean-code;maintenance"
"DevOps Pipeline Setup","Design a CI/CD pipeline for [PROJECT_TYPE] including: 1) Source control integration 2) Build automation steps 3) Testing stages (unit, integration, e2e) 4) Code quality checks (linting, coverage) 5) Security scanning 6) Deployment strategies 7) Environment management 8) Rollback procedures 9) Monitoring and alerting setup.","PUBLIC","devops;ci-cd;automation;deployment;pipeline"
